LocationAbbr,"Deaths per 100,000",Gender,Race/Ethnicity
NC,122.5,Overall,Asian and Pacific Islander
NC,188.3,Overall,Asian and Pacific Islander
NC,96.1,Overall,Asian and Pacific Islander
NC,168.9,Overall,Asian and Pacific Islander
NC,105.8,Overall,Asian and Pacific Islander
NC,15.8,Overall,Asian and Pacific Islander
NC,158.5,Overall,Asian and Pacific Islander
NC,398.1,Overall,American Indian and Alaskan Native
NC,465.4,Overall,American Indian and Alaskan Native
NC,316.9,Overall,American Indian and Alaskan Native
NC,97.5,Overall,American Indian and Alaskan Native
NC,265.9,Overall,American Indian and Alaskan Native
NC,313.2,Overall,American Indian and Alaskan Native
NC,490.6,Overall,American Indian and Alaskan Native
NC,450.3,Overall,American Indian and Alaskan Native
NC,1041.1,Overall,American Indian and Alaskan Native
NC,179.0,Overall,American Indian and Alaskan Native
NC,331.2,Overall,American Indian and Alaskan Native
NC,192.8,Overall,American Indian and Alaskan Native
NC,513.3,Overall,American Indian and Alaskan Native
NC,356.3,Overall,American Indian and Alaskan Native
NC,404.1,Overall,American Indian and Alaskan Native
NC,414.2,Overall,American Indian and Alaskan Native
NC,203.2,Overall,American Indian and Alaskan Native
NC,270.6,Overall,American Indian and Alaskan Native
NC,449.2,Overall,American Indian and Alaskan Native
NC,217.6,Overall,American Indian and Alaskan Native
NC,367.8,Overall,American Indian and Alaskan Native
NC,173.7,Overall,American Indian and Alaskan Native
NC,268.4,Overall,American Indian and Alaskan Native
NC,234.6,Overall,American Indian and Alaskan Native
NC,411.6,Overall,American Indian and Alaskan Native
NC,389.7,Overall,American Indian and Alaskan Native
NC,426.5,Overall,American Indian and Alaskan Native
NC,424.9,Overall,American Indian and Alaskan Native
NC,270.6,Overall,American Indian and Alaskan Native
NC,633.4,Overall,American Indian and Alaskan Native
NC,165.7,Overall,American Indian and Alaskan Native
NC,312.1,Overall,White
NC,365.7,Overall,Black
NC,103.6,Overall,Hispanic
NC,128.6,Overall,Asian and Pacific Islander
NC,128.6,Overall,Asian and Pacific Islander
NC,128.6,Overall,Asian and Pacific Islander
NC,354.5,Overall,American Indian and Alaskan Native
ND,283.4,Overall,White
ND,276.7,Overall,White
ND,373.0,Overall,White
ND,292.9,Overall,White
ND,343.3,Overall,White
ND,447.0,Overall,White
ND,284.4,Overall,White
ND,193.1,Overall,White
ND,256.4,Overall,White
ND,332.7,Overall,White
ND,320.4,Overall,White
ND,297.3,Overall,White
ND,302.9,Overall,White
ND,372.9,Overall,White
ND,241.7,Overall,White
ND,343.8,Overall,White
ND,300.3,Overall,White
ND,329.4,Overall,White
ND,292.0,Overall,White
ND,324.3,Overall,White
ND,311.4,Overall,White
ND,190.1,Overall,White
ND,316.7,Overall,White
ND,303.4,Overall,White
ND,299.5,Overall,White
ND,325.2,Overall,White
ND,300.7,Overall,White
ND,272.0,Overall,White
ND,281.1,Overall,White
ND,232.4,Overall,White
ND,285.2,Overall,White
ND,342.1,Overall,White
ND,235.1,Overall,White
ND,320.7,Overall,White
ND,341.7,Overall,White
ND,338.1,Overall,White
ND,263.6,Overall,White
ND,285.7,Overall,White
ND,263.8,Overall,White
ND,337.3,Overall,White
ND,304.5,Overall,White
ND,197.9,Overall,White
ND,255.2,Overall,White
ND,285.9,Overall,White
ND,301.0,Overall,White
ND,271.5,Overall,White
ND,310.9,Overall,White
ND,373.0,Overall,White
ND,322.9,Overall,White
ND,325.4,Overall,White
ND,287.5,Overall,White
ND,332.8,Overall,White
ND,311.4,Overall,White
ND,594.8,Overall,Hispanic
ND,822.9,Overall,American Indian and Alaskan Native
ND,496.9,Overall,American Indian and Alaskan Native
ND,597.4,Overall,American Indian and Alaskan Native
ND,398.9,Overall,American Indian and Alaskan Native
ND,565.4,Overall,American Indian and Alaskan Native
ND,655.6,Overall,American Indian and Alaskan Native
ND,638.2,Overall,American Indian and Alaskan Native
ND,363.7,Overall,American Indian and Alaskan Native
ND,144.1,Overall,American Indian and Alaskan Native
ND,517.0,Overall,American Indian and Alaskan Native
ND,342.5,Overall,American Indian and Alaskan Native
ND,464.7,Overall,American Indian and Alaskan Native
ND,287.5,Overall,American Indian and Alaskan Native
ND,494.4,Overall,American Indian and Alaskan Native
ND,406.1,Overall,American Indian and Alaskan Native
ND,851.6,Overall,American Indian and Alaskan Native
ND,459.5,Overall,American Indian and Alaskan Native
ND,564.4,Overall,American Indian and Alaskan Native
ND,685.7,Overall,American Indian and Alaskan Native
ND,286.5,Overall,White
ND,457.0,Overall,American Indian and Alaskan Native
NE,378.1,Overall,White
NE,328.4,Overall,White
NE,353.4,Overall,White
NE,329.6,Overall,White
NE,313.8,Overall,White
NE,265.5,Overall,White
NE,320.0,Overall,White
NE,318.7,Overall,White
NE,315.5,Overall,White
NE,268.9,Overall,White
NE,273.7,Overall,White
NE,259.5,Overall,White
NE,277.7,Overall,White
NE,298.9,Overall,White
NE,252.6,Overall,White
NE,323.3,Overall,White
NE,289.6,Overall,White
NE,343.2,Overall,White
NE,275.7,Overall,White
NE,304.8,Overall,White
NE,293.6,Overall,White
NE,291.0,Overall,White
NE,304.0,Overall,White
NE,295.8,Overall,White
NE,291.0,Overall,White
NE,345.0,Overall,White
NE,276.2,Overall,White
NE,287.8,Overall,White
NE,282.2,Overall,White
NE,298.2,Overall,White
NE,349.9,Overall,White
NE,276.9,Overall,White
NE,313.9,Overall,White
NE,267.8,Overall,White
NE,309.5,Overall,White
NE,328.0,Overall,White
NE,301.3,Overall,White
NE,338.9,Overall,White
NE,269.3,Overall,White
NE,273.2,Overall,White
NE,275.1,Overall,White
NE,330.8,Overall,White
NE,262.0,Overall,White
NE,277.2,Overall,White
NE,312.0,Overall,White
NE,413.7,Overall,White
NE,264.7,Overall,White
NE,305.4,Overall,White
NE,257.3,Overall,White
NE,321.8,Overall,White
NE,275.0,Overall,White
NE,335.3,Overall,White
NE,293.3,Overall,White
NE,302.8,Overall,White
NE,247.9,Overall,White
NE,275.7,Overall,White
NE,277.0,Overall,White
NE,340.9,Overall,White
NE,256.7,Overall,White
NE,386.8,Overall,White
NE,262.2,Overall,White
NE,323.4,Overall,White
NE,244.2,Overall,White
NE,277.8,Overall,White
NE,342.2,Overall,White
NE,258.5,Overall,White
NE,288.1,Overall,White
NE,266.7,Overall,White
NE,289.0,Overall,White
NE,316.0,Overall,White
NE,249.4,Overall,White
NE,269.9,Overall,White
NE,294.9,Overall,White
NE,285.7,Overall,White
NE,360.6,Overall,White
NE,301.8,Overall,White
NE,286.2,Overall,White
NE,275.4,Overall,White
NE,316.8,Overall,White
NE,272.3,Overall,White
NE,297.1,Overall,White
NE,277.8,Overall,White
NE,320.8,Overall,White
NE,256.0,Overall,White
NE,310.9,Overall,White
NE,196.8,Overall,White
NE,314.8,Overall,White
NE,313.5,Overall,White
NE,284.7,Overall,White
NE,285.5,Overall,White
NE,361.1,Overall,White
NE,302.8,Overall,White
NE,294.3,Overall,White
NE,224.8,Overall,Black
NE,319.2,Overall,Black
NE,383.3,Overall,Black
NE,394.6,Overall,Black
NE,122.7,Overall,Black
NE,300.6,Overall,Black
NE,241.2,Overall,Black
NE,193.9,Overall,Black
NE,205.6,Overall,Black
NE,394.1,Overall,Black
NE,371.5,Overall,Black
NE,230.9,Overall,Black
NE,386.3,Overall,Black
NJ,206.3,Overall,Hispanic
NE,163.0,Overall,Hispanic
NE,229.2,Overall,Hispanic
NE,170.1,Overall,Hispanic
NE,81.7,Overall,Hispanic
NE,131.3,Overall,Hispanic
NE,153.9,Overall,Hispanic
NE,184.8,Overall,Hispanic
NE,21.1,Overall,Hispanic
NE,181.2,Overall,Hispanic
NE,92.2,Overall,Hispanic
NE,118.9,Overall,Hispanic
NE,175.6,Overall,Hispanic
NE,121.6,Overall,Hispanic
NE,164.8,Overall,Hispanic
NE,153.2,Overall,Hispanic
NE,163.7,Overall,Hispanic
NE,150.4,Overall,Hispanic
NE,185.3,Overall,Hispanic
NE,125.0,Overall,Hispanic
NE,185.5,Overall,Hispanic
NE,116.4,Overall,Hispanic
NE,166.8,Overall,Hispanic
NE,143.7,Overall,Hispanic
NE,173.2,Overall,Hispanic
NE,125.9,Overall,Hispanic
NE,152.1,Overall,Hispanic
NE,116.3,Overall,Hispanic
NE,203.0,Overall,Hispanic
NE,125.1,Overall,Hispanic
NE,196.8,Overall,Hispanic
NE,101.4,Overall,Hispanic
NE,116.1,Overall,Hispanic
NE,159.0,Overall,Asian and Pacific Islander
NE,162.7,Overall,Asian and Pacific Islander
NE,67.9,Overall,Asian and Pacific Islander
NE,116.1,Overall,Asian and Pacific Islander
NE,175.8,Overall,Asian and Pacific Islander
NE,159.0,Overall,Asian and Pacific Islander
NE,162.7,Overall,Asian and Pacific Islander
NE,67.9,Overall,Asian and Pacific Islander
NE,116.1,Overall,Asian and Pacific Islander
NE,175.8,Overall,Asian and Pacific Islander
NE,159.0,Overall,Asian and Pacific Islander
NE,162.7,Overall,Asian and Pacific Islander
NE,67.9,Overall,Asian and Pacific Islander
NE,116.1,Overall,Asian and Pacific Islander
NE,175.8,Overall,Asian and Pacific Islander
NE,455.7,Overall,American Indian and Alaskan Native
NE,582.9,Overall,American Indian and Alaskan Native
NE,347.7,Overall,American Indian and Alaskan Native
NE,602.0,Overall,American Indian and Alaskan Native
NE,275.0,Overall,American Indian and Alaskan Native
NE,348.6,Overall,American Indian and Alaskan Native
NE,594.6,Overall,American Indian and Alaskan Native
NE,576.0,Overall,American Indian and Alaskan Native
NE,631.0,Overall,American Indian and Alaskan Native
NE,413.8,Overall,American Indian and Alaskan Native
NE,561.1,Overall,American Indian and Alaskan Native
NE,465.6,Overall,American Indian and Alaskan Native
NE,133.3,Overall,Asian and Pacific Islander
NE,247.2,Overall,American Indian and Alaskan Native
NE,353.4,Overall,American Indian and Alaskan Native
NE,314.0,Overall,American Indian and Alaskan Native
NE,621.2,Overall,American Indian and Alaskan Native
NE,516.2,Overall,American Indian and Alaskan Native
NE,632.4,Overall,American Indian and Alaskan Native
NE,133.3,Overall,Asian and Pacific Islander
NE,133.3,Overall,Asian and Pacific Islander
NE,284.9,Overall,White
NE,396.0,Overall,American Indian and Alaskan Native
NH,301.7,Overall,White
NH,252.0,Overall,White
NH,296.4,Overall,White
NH,340.2,Overall,White
NH,292.6,Overall,White
NH,291.3,Overall,White
NH,294.3,Overall,White
NH,288.4,Overall,White
NH,264.6,Overall,White
NH,294.8,Overall,White
NH,245.6,Overall,Black
NH,214.2,Overall,Black
NH,160.5,Overall,Black
NH,214.3,Overall,Black
NH,157.9,Overall,Black
NH,135.6,Overall,Hispanic
NH,104.3,Overall,Hispanic
NH,70.5,Overall,Hispanic
NH,85.7,Overall,Hispanic
NH,74.5,Overall,Hispanic
NH,81.0,Overall,Asian and Pacific Islander
NH,116.1,Overall,Asian and Pacific Islander
NH,117.2,Overall,Asian and Pacific Islander
NH,149.1,Overall,Asian and Pacific Islander
NH,116.6,Overall,Asian and Pacific Islander
NH,58.3,Overall,Asian and Pacific Islander
NH,132.5,Overall,Asian and Pacific Islander
NH,81.0,Overall,Asian and Pacific Islander
NH,116.1,Overall,Asian and Pacific Islander
NH,117.2,Overall,Asian and Pacific Islander
NH,149.1,Overall,Asian and Pacific Islander
NH,116.6,Overall,Asian and Pacific Islander
NH,58.3,Overall,Asian and Pacific Islander
NH,132.5,Overall,Asian and Pacific Islander
NH,81.0,Overall,Asian and Pacific Islander
NH,116.1,Overall,Asian and Pacific Islander
NH,117.2,Overall,Asian and Pacific Islander
NH,149.1,Overall,Asian and Pacific Islander
NH,116.6,Overall,Asian and Pacific Islander
NH,58.3,Overall,Asian and Pacific Islander
NH,132.5,Overall,Asian and Pacific Islander
NH,291.5,Overall,White
NH,155.0,Overall,Black
NH,78.9,Overall,Hispanic
NH,127.7,Overall,Asian and Pacific Islander
NH,127.7,Overall,Asian and Pacific Islander
NH,127.7,Overall,Asian and Pacific Islander
NJ,375.9,Overall,White
NJ,307.6,Overall,White
NJ,312.2,Overall,White
NJ,370.4,Overall,White
NJ,400.5,Overall,White
NJ,427.8,Overall,White
NJ,308.7,Overall,White
NJ,369.5,Overall,White
NJ,432.6,Overall,White
NJ,276.7,Overall,White
NJ,309.0,Overall,White
NJ,344.6,Overall,White
NJ,319.6,Overall,White
NJ,309.5,Overall,White
NJ,396.9,Overall,White
NJ,374.7,Overall,White
NJ,361.8,Overall,White
NJ,280.3,Overall,White
NJ,374.4,Overall,White
NJ,321.0,Overall,White
NJ,341.0,Overall,White
NJ,479.0,Overall,Black
NJ,317.1,Overall,Black
