County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Henderson,IL,20004.00,21533.00,20769.00
Henry,IL,5293.00,17395.00,11344.00
Iroquois,IL,20004.00,21533.00,20769.00
Jasper,IL,18752.00,20004.00,19378.00
Jersey,IL,18752.00,20004.00,19378.00
Jo Daviess,IL,5293.00,17395.00,11344.00
Kane,IL,21533.00,36976.00,29255.00
Kankakee,IL,21533.00,36976.00,29255.00
Kendall,IL,20004.00,21533.00,20769.00
Knox,IL,5293.00,17395.00,11344.00
Lake,IL,20004.00,21533.00,20769.00
LaSalle,IL,20004.00,21533.00,20769.00
Lawrence,IL,21533.00,36976.00,29255.00
Lee,IL,17395.00,18752.00,18074.00
Livingston,IL,5293.00,17395.00,11344.00
Logan,IL,17395.00,18752.00,18074.00
McDonough,IL,18752.00,20004.00,19378.00
McHenry,IL,20004.00,21533.00,20769.00
McLean,IL,5293.00,17395.00,11344.00
Macon,IL,17395.00,18752.00,18074.00
Macoupin,IL,18752.00,20004.00,19378.00
Madison,IL,18752.00,20004.00,19378.00
Marion,IL,20004.00,21533.00,20769.00
Marshall,IL,17395.00,18752.00,18074.00
Mason,IL,20004.00,21533.00,20769.00
Menard,IL,17395.00,18752.00,18074.00
Mercer,IL,5293.00,17395.00,11344.00
Montgomery,IL,20004.00,21533.00,20769.00
Morgan,IL,18752.00,20004.00,19378.00
Moultrie,IL,17395.00,18752.00,18074.00
Ogle,IL,17395.00,18752.00,18074.00
Peoria,IL,17395.00,18752.00,18074.00
Piatt,IL,17395.00,18752.00,18074.00
Pike,IL,18752.00,20004.00,19378.00
Putnam,IL,20004.00,21533.00,20769.00
Richland,IL,17395.00,18752.00,18074.00
Rock Island,IL,5293.00,17395.00,11344.00
St. Clair,IL,20004.00,21533.00,20769.00
Sangamon,IL,17395.00,18752.00,18074.00
Schuyler,IL,20004.00,21533.00,20769.00
Scott,IL,21533.00,36976.00,29255.00
Shelby,IL,17395.00,18752.00,18074.00
Stark,IL,5293.00,17395.00,11344.00
Stephenson,IL,17395.00,18752.00,18074.00
Tazewell,IL,17395.00,18752.00,18074.00
Vermilion,IL,21533.00,36976.00,29255.00
Wabash,IL,21533.00,36976.00,29255.00
Warren,IL,5293.00,17395.00,11344.00
Wayne,IL,18752.00,20004.00,19378.00
Whiteside,IL,17395.00,18752.00,18074.00
Will,IL,21533.00,36976.00,29255.00
Winnebago,IL,20004.00,21533.00,20769.00
Woodford,IL,5293.00,17395.00,11344.00
Benton,IN,18752.00,20004.00,19378.00
Fountain,IN,18752.00,20004.00,19378.00
Knox,IN,21533.00,36976.00,29255.00
Lake,IN,21533.00,36976.00,29255.00
Newton,IN,18752.00,20004.00,19378.00
Parke,IN,17395.00,18752.00,18074.00
Pike,IN,17395.00,18752.00,18074.00
Sullivan,IN,20004.00,21533.00,20769.00
Vermillion,IN,20004.00,21533.00,20769.00
Vigo,IN,20004.00,21533.00,20769.00
Warren,IN,5293.00,17395.00,11344.00
Allamakee,IA,5293.00,17395.00,11344.00
Appanoose,IA,20004.00,21533.00,20769.00
Benton,IA,17395.00,18752.00,18074.00
Black Hawk,IA,17395.00,18752.00,18074.00
Bremer,IA,17395.00,18752.00,18074.00
Buchanan,IA,18752.00,20004.00,19378.00
Butler,IA,17395.00,18752.00,18074.00
Cedar,IA,5293.00,17395.00,11344.00
Cerro Gordo,IA,18752.00,20004.00,19378.00
Chickasaw,IA,5293.00,17395.00,11344.00
Clayton,IA,17395.00,18752.00,18074.00
Clinton,IA,5293.00,17395.00,11344.00
Davis,IA,20004.00,21533.00,20769.00
Delaware,IA,17395.00,18752.00,18074.00
Des Moines,IA,5293.00,17395.00,11344.00
Dubuque,IA,17395.00,18752.00,18074.00
Fayette,IA,18752.00,20004.00,19378.00
Floyd,IA,18752.00,20004.00,19378.00
Franklin,IA,18752.00,20004.00,19378.00
Grundy,IA,17395.00,18752.00,18074.00
Hardin,IA,5293.00,17395.00,11344.00
Henry,IA,5293.00,17395.00,11344.00
Howard,IA,20004.00,21533.00,20769.00
Iowa,IA,17395.00,18752.00,18074.00
Jackson,IA,20004.00,21533.00,20769.00
Jasper,IA,5293.00,17395.00,11344.00
Jefferson,IA,21533.00,36976.00,29255.00
Johnson,IA,5293.00,17395.00,11344.00
Jones,IA,17395.00,18752.00,18074.00
Keokuk,IA,17395.00,18752.00,18074.00
Lee,IA,17395.00,18752.00,18074.00
Linn,IA,5293.00,17395.00,11344.00
Louisa,IA,5293.00,17395.00,11344.00
Lucas,IA,5293.00,17395.00,11344.00
Mahaska,IA,5293.00,17395.00,11344.00
Marion,IA,17395.00,18752.00,18074.00
Marshall,IA,5293.00,17395.00,11344.00
Mitchell,IA,5293.00,17395.00,11344.00
Monroe,IA,17395.00,18752.00,18074.00
Muscatine,IA,17395.00,18752.00,18074.00
Polk,IA,5293.00,17395.00,11344.00
Poweshiek,IA,5293.00,17395.00,11344.00
Scott,IA,17395.00,18752.00,18074.00
Story,IA,5293.00,17395.00,11344.00
Tama,IA,5293.00,17395.00,11344.00
Van Buren,IA,20004.00,21533.00,20769.00
Wapello,IA,5293.00,17395.00,11344.00
Warren,IA,5293.00,17395.00,11344.00
Washington,IA,17395.00,18752.00,18074.00
Wayne,IA,18752.00,20004.00,19378.00
Winneshiek,IA,5293.00,17395.00,11344.00
Worth,IA,17395.00,18752.00,18074.00
Dodge,MN,5293.00,17395.00,11344.00
Fillmore,MN,5293.00,17395.00,11344.00
Freeborn,MN,20004.00,21533.00,20769.00
Goodhue,MN,5293.00,17395.00,11344.00
Houston,MN,5293.00,17395.00,11344.00
Mower,MN,21533.00,36976.00,29255.00
Olmsted,MN,5293.00,17395.00,11344.00
Rice,MN,5293.00,17395.00,11344.00
Steele,MN,5293.00,17395.00,11344.00
Wabasha,MN,20004.00,21533.00,20769.00
Waseca,MN,17395.00,18752.00,18074.00
Winona,MN,5293.00,17395.00,11344.00
Adair,MO,17395.00,18752.00,18074.00
Audrain,MO,5293.00,17395.00,11344.00
Boone,MO,17395.00,18752.00,18074.00
Callaway,MO,5293.00,17395.00,11344.00
Carroll,MO,21533.00,36976.00,29255.00
Chariton,MO,5293.00,17395.00,11344.00
Clark,MO,17395.00,18752.00,18074.00
Cole,MO,5293.00,17395.00,11344.00
Cooper,MO,5293.00,17395.00,11344.00
Franklin,MO,17395.00,18752.00,18074.00
Gasconade,MO,17395.00,18752.00,18074.00
Grundy,MO,21533.00,36976.00,29255.00
Howard,MO,5293.00,17395.00,11344.00
Knox,MO,5293.00,17395.00,11344.00
Lewis,MO,20004.00,21533.00,20769.00
Lincoln,MO,20004.00,21533.00,20769.00
Linn,MO,20004.00,21533.00,20769.00
Livingston,MO,21533.00,36976.00,29255.00
Macon,MO,17395.00,18752.00,18074.00
Marion,MO,5293.00,17395.00,11344.00
Mercer,MO,20004.00,21533.00,20769.00
Moniteau,MO,5293.00,17395.00,11344.00
Monroe,MO,5293.00,17395.00,11344.00
Montgomery,MO,5293.00,17395.00,11344.00
Morgan,MO,5293.00,17395.00,11344.00
Osage,MO,5293.00,17395.00,11344.00
Pettis,MO,17395.00,18752.00,18074.00
Pike,MO,18752.00,20004.00,19378.00
Putnam,MO,21533.00,36976.00,29255.00
Ralls,MO,5293.00,17395.00,11344.00
Randolph,MO,18752.00,20004.00,19378.00
St. Charles,MO,18752.00,20004.00,19378.00
St. Louis County,MO,20004.00,21533.00,20769.00
Saline,MO,17395.00,18752.00,18074.00
Schuyler,MO,17395.00,18752.00,18074.00
Scotland,MO,21533.00,36976.00,29255.00
Shelby,MO,17395.00,18752.00,18074.00
Sullivan,MO,21533.00,36976.00,29255.00
Warren,MO,20004.00,21533.00,20769.00
St. Louis City,MO,21533.00,36976.00,29255.00
Adams,WI,5293.00,17395.00,11344.00
Brown,WI,5293.00,17395.00,11344.00
Buffalo,WI,5293.00,17395.00,11344.00
Calumet,WI,5293.00,17395.00,11344.00
Columbia,WI,5293.00,17395.00,11344.00
Crawford,WI,17395.00,18752.00,18074.00
Dane,WI,5293.00,17395.00,11344.00
Dodge,WI,5293.00,17395.00,11344.00
Fond du Lac,WI,17395.00,18752.00,18074.00
Grant,WI,17395.00,18752.00,18074.00
Green,WI,5293.00,17395.00,11344.00
Green Lake,WI,17395.00,18752.00,18074.00
Iowa,WI,17395.00,18752.00,18074.00
Jackson,WI,18752.00,20004.00,19378.00
Jefferson,WI,5293.00,17395.00,11344.00
Juneau,WI,5293.00,17395.00,11344.00
Kenosha,WI,18752.00,20004.00,19378.00
Kewaunee,WI,5293.00,17395.00,11344.00
La Crosse,WI,5293.00,17395.00,11344.00
Lafayette,WI,18752.00,20004.00,19378.00
Manitowoc,WI,5293.00,17395.00,11344.00
Marquette,WI,5293.00,17395.00,11344.00
Milwaukee,WI,21533.00,36976.00,29255.00
Monroe,WI,18752.00,20004.00,19378.00
Outagamie,WI,5293.00,17395.00,11344.00
Ozaukee,WI,5293.00,17395.00,11344.00
Pepin,WI,18752.00,20004.00,19378.00
Portage,WI,5293.00,17395.00,11344.00
Racine,WI,20004.00,21533.00,20769.00
Richland,WI,17395.00,18752.00,18074.00
Rock,WI,18752.00,20004.00,19378.00
Sauk,WI,5293.00,17395.00,11344.00
Sheboygan,WI,5293.00,17395.00,11344.00
Trempealeau,WI,17395.00,18752.00,18074.00
Vernon,WI,17395.00,18752.00,18074.00
Walworth,WI,17395.00,18752.00,18074.00
Washington,WI,17395.00,18752.00,18074.00
Waukesha,WI,17395.00,18752.00,18074.00
Waupaca,WI,5293.00,17395.00,11344.00
Waushara,WI,17395.00,18752.00,18074.00
Winnebago,WI,5293.00,17395.00,11344.00
Wood,WI,5293.00,17395.00,11344.00
Autauga,AL,20004.00,21533.00,20769.00
Blount,AL,20004.00,21533.00,20769.00
Calhoun,AL,20004.00,21533.00,20769.00
Chambers,AL,5293.00,17395.00,11344.00
Cherokee,AL,17395.00,18752.00,18074.00
Chilton,AL,20004.00,21533.00,20769.00
Clay,AL,20004.00,21533.00,20769.00
Cleburne,AL,20004.00,21533.00,20769.00
Coosa,AL,17395.00,18752.00,18074.00
Cullman,AL,18752.00,20004.00,19378.00
Dallas,AL,20004.00,21533.00,20769.00
DeKalb,AL,17395.00,18752.00,18074.00
Elmore,AL,18752.00,20004.00,19378.00
Etowah,AL,21533.00,36976.00,29255.00
Jackson,AL,18752.00,20004.00,19378.00
Jefferson,AL,20004.00,21533.00,20769.00
Lee,AL,5293.00,17395.00,11344.00
Limestone,AL,18752.00,20004.00,19378.00
Lowndes,AL,17395.00,18752.00,18074.00
Macon,AL,17395.00,18752.00,18074.00
Madison,AL,18752.00,20004.00,19378.00
Marshall,AL,18752.00,20004.00,19378.00
Montgomery,AL,20004.00,21533.00,20769.00
Morgan,AL,18752.00,20004.00,19378.00
Randolph,AL,17395.00,18752.00,18074.00
Russell,AL,18752.00,20004.00,19378.00
St. Clair,AL,20004.00,21533.00,20769.00
Shelby,AL,17395.00,18752.00,18074.00
Talladega,AL,20004.00,21533.00,20769.00
Tallapoosa,AL,17395.00,18752.00,18074.00
Bartow,GA,20004.00,21533.00,20769.00
Butts,GA,21533.00,36976.00,29255.00
Carroll,GA,18752.00,20004.00,19378.00
Catoosa,GA,18752.00,20004.00,19378.00
Chattahoochee,GA,18752.00,20004.00,19378.00
Chattooga,GA,18752.00,20004.00,19378.00
Cherokee,GA,17395.00,18752.00,18074.00
Clayton,GA,21533.00,36976.00,29255.00
Cobb,GA,17395.00,18752.00,18074.00
Coweta,GA,18752.00,20004.00,19378.00
Crawford,GA,21533.00,36976.00,29255.00
Dade,GA,17395.00,18752.00,18074.00
Dawson,GA,17395.00,18752.00,18074.00
DeKalb,GA,20004.00,21533.00,20769.00
Douglas,GA,21533.00,36976.00,29255.00
Fannin,GA,5293.00,17395.00,11344.00
Fayette,GA,5293.00,17395.00,11344.00
Floyd,GA,20004.00,21533.00,20769.00
Forsyth,GA,17395.00,18752.00,18074.00
Fulton,GA,20004.00,21533.00,20769.00
Gilmer,GA,17395.00,18752.00,18074.00
Gordon,GA,18752.00,20004.00,19378.00
Gwinnett,GA,18752.00,20004.00,19378.00
Haralson,GA,20004.00,21533.00,20769.00
Harris,GA,17395.00,18752.00,18074.00
Heard,GA,18752.00,20004.00,19378.00
Henry,GA,20004.00,21533.00,20769.00
Lamar,GA,5293.00,17395.00,11344.00
Lumpkin,GA,20004.00,21533.00,20769.00
Macon,GA,21533.00,36976.00,29255.00
Marion,GA,5293.00,17395.00,11344.00
Meriwether,GA,21533.00,36976.00,29255.00
Monroe,GA,18752.00,20004.00,19378.00
Murray,GA,18752.00,20004.00,19378.00
Muscogee,GA,20004.00,21533.00,20769.00
Paulding,GA,18752.00,20004.00,19378.00
Pickens,GA,17395.00,18752.00,18074.00
Pike,GA,20004.00,21533.00,20769.00
Polk,GA,20004.00,21533.00,20769.00
Rockdale,GA,20004.00,21533.00,20769.00
Schley,GA,5293.00,17395.00,11344.00
Spalding,GA,18752.00,20004.00,19378.00
Talbot,GA,5293.00,17395.00,11344.00
Taylor,GA,21533.00,36976.00,29255.00
Troup,GA,20004.00,21533.00,20769.00
Union,GA,5293.00,17395.00,11344.00
Upson,GA,18752.00,20004.00,19378.00
Walker,GA,18752.00,20004.00,19378.00
Whitfield,GA,17395.00,18752.00,18074.00
Crawford,IN,18752.00,20004.00,19378.00
Dubois,IN,17395.00,18752.00,18074.00
Floyd,IN,20004.00,21533.00,20769.00
Harrison,IN,21533.00,36976.00,29255.00
Perry,IN,21533.00,36976.00,29255.00
Spencer,IN,17395.00,18752.00,18074.00
Adair,KY,21533.00,36976.00,29255.00
Allen,KY,21533.00,36976.00,29255.00
Anderson,KY,20004.00,21533.00,20769.00
Barren,KY,18752.00,20004.00,19378.00
Bourbon,KY,5293.00,17395.00,11344.00
Boyle,KY,18752.00,20004.00,19378.00
Breckinridge,KY,18752.00,20004.00,19378.00
Bullitt,KY,20004.00,21533.00,20769.00
Butler,KY,18752.00,20004.00,19378.00
Casey,KY,21533.00,36976.00,29255.00
Clark,KY,17395.00,18752.00,18074.00
Clinton,KY,21533.00,36976.00,29255.00
Cumberland,KY,21533.00,36976.00,29255.00
Daviess,KY,17395.00,18752.00,18074.00
Edmonson,KY,21533.00,36976.00,29255.00
Estill,KY,20004.00,21533.00,20769.00
Fayette,KY,20004.00,21533.00,20769.00
Franklin,KY,21533.00,36976.00,29255.00
Garrard,KY,18752.00,20004.00,19378.00
Grayson,KY,18752.00,20004.00,19378.00
Green,KY,21533.00,36976.00,29255.00
Hancock,KY,5293.00,17395.00,11344.00
Hardin,KY,18752.00,20004.00,19378.00
Hart,KY,20004.00,21533.00,20769.00
Jackson,KY,18752.00,20004.00,19378.00
Jefferson,KY,20004.00,21533.00,20769.00
Jessamine,KY,20004.00,21533.00,20769.00
Larue,KY,20004.00,21533.00,20769.00
Laurel,KY,18752.00,20004.00,19378.00
Lincoln,KY,20004.00,21533.00,20769.00
Logan,KY,18752.00,20004.00,19378.00
McCreary,KY,20004.00,21533.00,20769.00
Madison,KY,18752.00,20004.00,19378.00
Marion,KY,20004.00,21533.00,20769.00
Meade,KY,20004.00,21533.00,20769.00
Mercer,KY,20004.00,21533.00,20769.00
Metcalfe,KY,20004.00,21533.00,20769.00
Monroe,KY,21533.00,36976.00,29255.00
Montgomery,KY,18752.00,20004.00,19378.00
Muhlenberg,KY,17395.00,18752.00,18074.00
Nelson,KY,18752.00,20004.00,19378.00
Nicholas,KY,17395.00,18752.00,18074.00
Ohio,KY,18752.00,20004.00,19378.00
Pulaski,KY,17395.00,18752.00,18074.00
Rockcastle,KY,20004.00,21533.00,20769.00
Russell,KY,20004.00,21533.00,20769.00
Scott,KY,18752.00,20004.00,19378.00
Shelby,KY,17395.00,18752.00,18074.00
Simpson,KY,21533.00,36976.00,29255.00
Spencer,KY,17395.00,18752.00,18074.00
Taylor,KY,20004.00,21533.00,20769.00
Warren,KY,20004.00,21533.00,20769.00
Washington,KY,20004.00,21533.00,20769.00
Wayne,KY,17395.00,18752.00,18074.00
Whitley,KY,20004.00,21533.00,20769.00
Woodford,KY,17395.00,18752.00,18074.00
Cherokee,NC,17395.00,18752.00,18074.00
Anderson,TN,18752.00,20004.00,19378.00
Bedford,TN,17395.00,18752.00,18074.00
Bledsoe,TN,17395.00,18752.00,18074.00
Blount,TN,17395.00,18752.00,18074.00
Bradley,TN,18752.00,20004.00,19378.00
Campbell,TN,20004.00,21533.00,20769.00
Cannon,TN,18752.00,20004.00,19378.00
Cheatham,TN,17395.00,18752.00,18074.00
Clay,TN,20004.00,21533.00,20769.00
Coffee,TN,20004.00,21533.00,20769.00
Cumberland,TN,5293.00,17395.00,11344.00
Davidson,TN,20004.00,21533.00,20769.00
DeKalb,TN,17395.00,18752.00,18074.00
Fentress,TN,21533.00,36976.00,29255.00
Franklin,TN,20004.00,21533.00,20769.00
Giles,TN,20004.00,21533.00,20769.00
Grundy,TN,20004.00,21533.00,20769.00
Hamilton,TN,18752.00,20004.00,19378.00
Jackson,TN,18752.00,20004.00,19378.00
Knox,TN,17395.00,18752.00,18074.00
Lincoln,TN,18752.00,20004.00,19378.00
Loudon,TN,17395.00,18752.00,18074.00
McMinn,TN,18752.00,20004.00,19378.00
Macon,TN,18752.00,20004.00,19378.00
Marion,TN,20004.00,21533.00,20769.00
Marshall,TN,20004.00,21533.00,20769.00
Maury,TN,18752.00,20004.00,19378.00
Meigs,TN,5293.00,17395.00,11344.00
Monroe,TN,17395.00,18752.00,18074.00
Moore,TN,5293.00,17395.00,11344.00
Morgan,TN,17395.00,18752.00,18074.00
Overton,TN,21533.00,36976.00,29255.00
Pickett,TN,21533.00,36976.00,29255.00
Polk,TN,20004.00,21533.00,20769.00
Putnam,TN,18752.00,20004.00,19378.00
Rhea,TN,17395.00,18752.00,18074.00
Roane,TN,17395.00,18752.00,18074.00
Robertson,TN,17395.00,18752.00,18074.00
Rutherford,TN,17395.00,18752.00,18074.00
Scott,TN,20004.00,21533.00,20769.00
Sequatchie,TN,17395.00,18752.00,18074.00
Smith,TN,21533.00,36976.00,29255.00
Sumner,TN,17395.00,18752.00,18074.00
Trousdale,TN,21533.00,36976.00,29255.00
Van Buren,TN,5293.00,17395.00,11344.00
Warren,TN,18752.00,20004.00,19378.00
White,TN,17395.00,18752.00,18074.00
Williamson,TN,5293.00,17395.00,11344.00
Wilson,TN,18752.00,20004.00,19378.00
Baldwin,GA,17395.00,18752.00,18074.00
Banks,GA,18752.00,20004.00,19378.00
Barrow,GA,18752.00,20004.00,19378.00
Bibb,GA,20004.00,21533.00,20769.00
Bleckley,GA,21533.00,36976.00,29255.00
Bulloch,GA,20004.00,21533.00,20769.00
Burke,GA,20004.00,21533.00,20769.00
Candler,GA,21533.00,36976.00,29255.00
Clarke,GA,17395.00,18752.00,18074.00
Columbia,GA,17395.00,18752.00,18074.00
Dodge,GA,20004.00,21533.00,20769.00
Dooly,GA,21533.00,36976.00,29255.00
Effingham,GA,20004.00,21533.00,20769.00
Elbert,GA,5293.00,17395.00,11344.00
Emanuel,GA,18752.00,20004.00,19378.00
Evans,GA,21533.00,36976.00,29255.00
Franklin,GA,18752.00,20004.00,19378.00
Glascock,GA,5293.00,17395.00,11344.00
Greene,GA,5293.00,17395.00,11344.00
Habersham,GA,5293.00,17395.00,11344.00
Hall,GA,17395.00,18752.00,18074.00
Hancock,GA,20004.00,21533.00,20769.00
Hart,GA,5293.00,17395.00,11344.00
Houston,GA,18752.00,20004.00,19378.00
Jackson,GA,18752.00,20004.00,19378.00
Jasper,GA,18752.00,20004.00,19378.00
Jefferson,GA,20004.00,21533.00,20769.00
Jenkins,GA,18752.00,20004.00,19378.00
Johnson,GA,18752.00,20004.00,19378.00
Jones,GA,17395.00,18752.00,18074.00
Laurens,GA,17395.00,18752.00,18074.00
Lincoln,GA,17395.00,18752.00,18074.00
McDuffie,GA,21533.00,36976.00,29255.00
Madison,GA,5293.00,17395.00,11344.00
Montgomery,GA,18752.00,20004.00,19378.00
Morgan,GA,5293.00,17395.00,11344.00
Newton,GA,20004.00,21533.00,20769.00
Oconee,GA,5293.00,17395.00,11344.00
Oglethorpe,GA,17395.00,18752.00,18074.00
Peach,GA,18752.00,20004.00,19378.00
Pulaski,GA,17395.00,18752.00,18074.00
Putnam,GA,5293.00,17395.00,11344.00
Rabun,GA,17395.00,18752.00,18074.00
Richmond,GA,20004.00,21533.00,20769.00
Screven,GA,20004.00,21533.00,20769.00
Stephens,GA,17395.00,18752.00,18074.00
Taliaferro,GA,5293.00,17395.00,11344.00
Toombs,GA,17395.00,18752.00,18074.00
Towns,GA,5293.00,17395.00,11344.00
Treutlen,GA,20004.00,21533.00,20769.00
Twiggs,GA,18752.00,20004.00,19378.00
Walton,GA,17395.00,18752.00,18074.00
Warren,GA,17395.00,18752.00,18074.00
Washington,GA,17395.00,18752.00,18074.00
White,GA,5293.00,17395.00,11344.00
Wilkes,GA,18752.00,20004.00,19378.00
Wilkinson,GA,17395.00,18752.00,18074.00
Bath,KY,17395.00,18752.00,18074.00
Bell,KY,21533.00,36976.00,29255.00
Boyd,KY,20004.00,21533.00,20769.00
Breathitt,KY,20004.00,21533.00,20769.00
Carter,KY,17395.00,18752.00,18074.00
Clay,KY,21533.00,36976.00,29255.00
Elliott,KY,21533.00,36976.00,29255.00
Fleming,KY,20004.00,21533.00,20769.00
Floyd,KY,21533.00,36976.00,29255.00
Harlan,KY,18752.00,20004.00,19378.00
Johnson,KY,20004.00,21533.00,20769.00
Knott,KY,18752.00,20004.00,19378.00
Knox,KY,20004.00,21533.00,20769.00
Lawrence,KY,18752.00,20004.00,19378.00
Lee,KY,21533.00,36976.00,29255.00
Leslie,KY,21533.00,36976.00,29255.00
Letcher,KY,20004.00,21533.00,20769.00
Magoffin,KY,20004.00,21533.00,20769.00
Martin,KY,21533.00,36976.00,29255.00
Menifee,KY,18752.00,20004.00,19378.00
Morgan,KY,20004.00,21533.00,20769.00
Owsley,KY,17395.00,18752.00,18074.00
Perry,KY,21533.00,36976.00,29255.00
Pike,KY,20004.00,21533.00,20769.00
Powell,KY,20004.00,21533.00,20769.00
Rowan,KY,20004.00,21533.00,20769.00
Wolfe,KY,18752.00,20004.00,19378.00
Alexander,NC,17395.00,18752.00,18074.00
Alleghany,NC,5293.00,17395.00,11344.00
Ashe,NC,5293.00,17395.00,11344.00
Avery,NC,18752.00,20004.00,19378.00
Buncombe,NC,17395.00,18752.00,18074.00
Burke,NC,5293.00,17395.00,11344.00
Caldwell,NC,18752.00,20004.00,19378.00
Catawba,NC,17395.00,18752.00,18074.00
Clay,NC,5293.00,17395.00,11344.00
Cleveland,NC,18752.00,20004.00,19378.00
Gaston,NC,20004.00,21533.00,20769.00
Graham,NC,17395.00,18752.00,18074.00
Haywood,NC,17395.00,18752.00,18074.00
Henderson,NC,17395.00,18752.00,18074.00
Iredell,NC,18752.00,20004.00,19378.00
Jackson,NC,18752.00,20004.00,19378.00
Lincoln,NC,18752.00,20004.00,19378.00
McDowell,NC,18752.00,20004.00,19378.00
Macon,NC,17395.00,18752.00,18074.00
Madison,NC,17395.00,18752.00,18074.00
Mecklenburg,NC,18752.00,20004.00,19378.00
Mitchell,NC,18752.00,20004.00,19378.00
Polk,NC,17395.00,18752.00,18074.00
Rutherford,NC,17395.00,18752.00,18074.00
Surry,NC,18752.00,20004.00,19378.00
Swain,NC,21533.00,36976.00,29255.00
Transylvania,NC,17395.00,18752.00,18074.00
Watauga,NC,5293.00,17395.00,11344.00
Wilkes,NC,17395.00,18752.00,18074.00
Yadkin,NC,17395.00,18752.00,18074.00
Yancey,NC,17395.00,18752.00,18074.00
Abbeville,SC,5293.00,17395.00,11344.00
Aiken,SC,17395.00,18752.00,18074.00
Allendale,SC,21533.00,36976.00,29255.00
Anderson,SC,17395.00,18752.00,18074.00
Bamberg,SC,18752.00,20004.00,19378.00
Barnwell,SC,17395.00,18752.00,18074.00
Beaufort,SC,5293.00,17395.00,11344.00
Calhoun,SC,17395.00,18752.00,18074.00
Cherokee,SC,20004.00,21533.00,20769.00
Chester,SC,17395.00,18752.00,18074.00
Colleton,SC,20004.00,21533.00,20769.00
Edgefield,SC,17395.00,18752.00,18074.00
Fairfield,SC,17395.00,18752.00,18074.00
Greenville,SC,5293.00,17395.00,11344.00
Greenwood,SC,18752.00,20004.00,19378.00
Hampton,SC,20004.00,21533.00,20769.00
Jasper,SC,18752.00,20004.00,19378.00
Lancaster,SC,5293.00,17395.00,11344.00
Laurens,SC,18752.00,20004.00,19378.00
Lexington,SC,5293.00,17395.00,11344.00
McCormick,SC,17395.00,18752.00,18074.00
Newberry,SC,17395.00,18752.00,18074.00
Oconee,SC,17395.00,18752.00,18074.00
Orangeburg,SC,18752.00,20004.00,19378.00
Pickens,SC,5293.00,17395.00,11344.00
Richland,SC,5293.00,17395.00,11344.00
Saluda,SC,17395.00,18752.00,18074.00
Spartanburg,SC,18752.00,20004.00,19378.00
Union,SC,18752.00,20004.00,19378.00
York,SC,17395.00,18752.00,18074.00
Carter,TN,18752.00,20004.00,19378.00
Claiborne,TN,21533.00,36976.00,29255.00
Cocke,TN,18752.00,20004.00,19378.00
Grainger,TN,18752.00,20004.00,19378.00
Greene,TN,18752.00,20004.00,19378.00
Hamblen,TN,18752.00,20004.00,19378.00
Hancock,TN,18752.00,20004.00,19378.00
Hawkins,TN,17395.00,18752.00,18074.00
Jefferson,TN,18752.00,20004.00,19378.00
Johnson,TN,20004.00,21533.00,20769.00
Sevier,TN,17395.00,18752.00,18074.00
Sullivan,TN,18752.00,20004.00,19378.00
Unicoi,TN,20004.00,21533.00,20769.00
Union,TN,18752.00,20004.00,19378.00
Washington,TN,17395.00,18752.00,18074.00
Bland,VA,17395.00,18752.00,18074.00
Buchanan,VA,20004.00,21533.00,20769.00
Carroll,VA,18752.00,20004.00,19378.00
Dickenson,VA,18752.00,20004.00,19378.00
Giles,VA,18752.00,20004.00,19378.00
Grayson,VA,17395.00,18752.00,18074.00
Lee,VA,18752.00,20004.00,19378.00
Pulaski,VA,18752.00,20004.00,19378.00
Russell,VA,18752.00,20004.00,19378.00
Scott,VA,20004.00,21533.00,20769.00
Smyth,VA,21533.00,36976.00,29255.00
Tazewell,VA,18752.00,20004.00,19378.00
Washington,VA,17395.00,18752.00,18074.00
Wise,VA,20004.00,21533.00,20769.00
Wythe,VA,20004.00,21533.00,20769.00
Bristol,VA,20004.00,21533.00,20769.00
Galax,VA,20004.00,21533.00,20769.00
Norton,VA,17395.00,18752.00,18074.00
Boone,WV,20004.00,21533.00,20769.00
Fayette,WV,21533.00,36976.00,29255.00
Kanawha,WV,18752.00,20004.00,19378.00
Lincoln,WV,17395.00,18752.00,18074.00
Logan,WV,21533.00,36976.00,29255.00
McDowell,WV,17395.00,18752.00,18074.00
Mercer,WV,17395.00,18752.00,18074.00
Mingo,WV,21533.00,36976.00,29255.00
Nicholas,WV,20004.00,21533.00,20769.00
Raleigh,WV,20004.00,21533.00,20769.00
Summers,WV,20004.00,21533.00,20769.00
Wayne,WV,20004.00,21533.00,20769.00
Wyoming,WV,21533.00,36976.00,29255.00
Adams,IN,5293.00,17395.00,11344.00
Allen,IN,17395.00,18752.00,18074.00
Bartholomew,IN,18752.00,20004.00,19378.00
Blackford,IN,18752.00,20004.00,19378.00
Boone,IN,17395.00,18752.00,18074.00
Brown,IN,5293.00,17395.00,11344.00
Carroll,IN,18752.00,20004.00,19378.00
Cass,IN,17395.00,18752.00,18074.00
Clark,IN,21533.00,36976.00,29255.00
Clay,IN,17395.00,18752.00,18074.00
Clinton,IN,18752.00,20004.00,19378.00
Daviess,IN,20004.00,21533.00,20769.00
Dearborn,IN,20004.00,21533.00,20769.00
