County,State,HealthCareCosts_PerCapita_LowerBound($),HealthCareCosts_PerCapita_UpperBound($),HealthCareCosts_PerCapita_AverageBound($)
Pushmataha,OK,20004.00,21533.00,20769.00
Roger Mills,OK,5293.00,17395.00,11344.00
Rogers,OK,20004.00,21533.00,20769.00
Seminole,OK,21533.00,36976.00,29255.00
Sequoyah,OK,21533.00,36976.00,29255.00
Stephens,OK,17395.00,18752.00,18074.00
Texas,OK,18752.00,20004.00,19378.00
Tillman,OK,21533.00,36976.00,29255.00
Tulsa,OK,21533.00,36976.00,29255.00
Wagoner,OK,21533.00,36976.00,29255.00
Washington,OK,5293.00,17395.00,11344.00
Washita,OK,18752.00,20004.00,19378.00
Woods,OK,5293.00,17395.00,11344.00
Woodward,OK,17395.00,18752.00,18074.00
Aurora,SD,5293.00,17395.00,11344.00
Beadle,SD,17395.00,18752.00,18074.00
Bennett,SD,21533.00,36976.00,29255.00
Bon Homme,SD,20004.00,21533.00,20769.00
Brookings,SD,5293.00,17395.00,11344.00
Brule,SD,17395.00,18752.00,18074.00
Buffalo,SD,21533.00,36976.00,29255.00
Charles Mix,SD,18752.00,20004.00,19378.00
Clay,SD,17395.00,18752.00,18074.00
Custer,SD,5293.00,17395.00,11344.00
Davison,SD,17395.00,18752.00,18074.00
Douglas,SD,17395.00,18752.00,18074.00
Fall River,SD,20004.00,21533.00,20769.00
Gregory,SD,21533.00,36976.00,29255.00
Haakon,SD,17395.00,18752.00,18074.00
Hand,SD,21533.00,36976.00,29255.00
Hanson,SD,5293.00,17395.00,11344.00
Hughes,SD,5293.00,17395.00,11344.00
Hutchinson,SD,21533.00,36976.00,29255.00
Hyde,SD,5293.00,17395.00,11344.00
Jackson,SD,21533.00,36976.00,29255.00
Jerauld,SD,21533.00,36976.00,29255.00
Jones,SD,5293.00,17395.00,11344.00
Kingsbury,SD,18752.00,20004.00,19378.00
Lake,SD,17395.00,18752.00,18074.00
Lawrence,SD,5293.00,17395.00,11344.00
Lincoln,SD,17395.00,18752.00,18074.00
Lyman,SD,5293.00,17395.00,11344.00
McCook,SD,20004.00,21533.00,20769.00
Meade,SD,17395.00,18752.00,18074.00
Mellette,SD,21533.00,36976.00,29255.00
Miner,SD,5293.00,17395.00,11344.00
Minnehaha,SD,17395.00,18752.00,18074.00
Moody,SD,5293.00,17395.00,11344.00
Pennington,SD,5293.00,17395.00,11344.00
Sanborn,SD,5293.00,17395.00,11344.00
Oglala Lakota,SD,21533.00,36976.00,29255.00
Stanley,SD,5293.00,17395.00,11344.00
Todd,SD,21533.00,36976.00,29255.00
Tripp,SD,18752.00,20004.00,19378.00
Turner,SD,5293.00,17395.00,11344.00
Union,SD,17395.00,18752.00,18074.00
Yankton,SD,5293.00,17395.00,11344.00
Andrews,TX,21533.00,36976.00,29255.00
Archer,TX,18752.00,20004.00,19378.00
Armstrong,TX,5293.00,17395.00,11344.00
Bailey,TX,20004.00,21533.00,20769.00
Baylor,TX,21533.00,36976.00,29255.00
Borden,TX,5293.00,17395.00,11344.00
Bowie,TX,21533.00,36976.00,29255.00
Briscoe,TX,18752.00,20004.00,19378.00
Callahan,TX,21533.00,36976.00,29255.00
Camp,TX,21533.00,36976.00,29255.00
Carson,TX,21533.00,36976.00,29255.00
Cass,TX,21533.00,36976.00,29255.00
Castro,TX,21533.00,36976.00,29255.00
Childress,TX,21533.00,36976.00,29255.00
Clay,TX,21533.00,36976.00,29255.00
Cochran,TX,5293.00,17395.00,11344.00
Collin,TX,20004.00,21533.00,20769.00
Collingsworth,TX,21533.00,36976.00,29255.00
Cooke,TX,21533.00,36976.00,29255.00
Cottle,TX,21533.00,36976.00,29255.00
Crosby,TX,21533.00,36976.00,29255.00
Dallam,TX,21533.00,36976.00,29255.00
Dallas,TX,21533.00,36976.00,29255.00
Dawson,TX,20004.00,21533.00,20769.00
Deaf Smith,TX,18752.00,20004.00,19378.00
Delta,TX,20004.00,21533.00,20769.00
Denton,TX,21533.00,36976.00,29255.00
Dickens,TX,21533.00,36976.00,29255.00
Donley,TX,21533.00,36976.00,29255.00
Eastland,TX,21533.00,36976.00,29255.00
Ellis,TX,21533.00,36976.00,29255.00
Erath,TX,20004.00,21533.00,20769.00
Fannin,TX,21533.00,36976.00,29255.00
Fisher,TX,20004.00,21533.00,20769.00
Floyd,TX,21533.00,36976.00,29255.00
Foard,TX,21533.00,36976.00,29255.00
Franklin,TX,20004.00,21533.00,20769.00
Gaines,TX,20004.00,21533.00,20769.00
Garza,TX,21533.00,36976.00,29255.00
