FIPS Code,Name,State,Value,LowRange($),HighRange($),Average($)
45017,Calhoun,(SC),18593,"17,395","18,752","18,074"
45021,Cherokee,(SC),20212,"20,004","21,533","20,769"
45023,Chester,(SC),18544,"17,395","18,752","18,074"
45029,Colleton,(SC),21202,"20,004","21,533","20,769"
45037,Edgefield,(SC),18694,"17,395","18,752","18,074"
45039,Fairfield,(SC),17687,"17,395","18,752","18,074"
45045,Greenville,(SC),17319,"5,293","17,395","11,344"
45047,Greenwood,(SC),19170,"18,752","20,004","19,378"
45049,Hampton,(SC),20178,"20,004","21,533","20,769"
45053,Jasper,(SC),19307,"18,752","20,004","19,378"
45057,Lancaster,(SC),16954,"5,293","17,395","11,344"
45059,Laurens,(SC),19245,"18,752","20,004","19,378"
45063,Lexington,(SC),17149,"5,293","17,395","11,344"
45065,McCormick,(SC),18340,"17,395","18,752","18,074"
45071,Newberry,(SC),17714,"17,395","18,752","18,074"
45073,Oconee,(SC),17561,"17,395","18,752","18,074"
45075,Orangeburg,(SC),19512,"18,752","20,004","19,378"
45077,Pickens,(SC),17299,"5,293","17,395","11,344"
45079,Richland,(SC),16942,"5,293","17,395","11,344"
45081,Saluda,(SC),17828,"17,395","18,752","18,074"
45083,Spartanburg,(SC),19374,"18,752","20,004","19,378"
45087,Union,(SC),19304,"18,752","20,004","19,378"
45091,York,(SC),17545,"17,395","18,752","18,074"
47019,Carter,(TN),19260,"18,752","20,004","19,378"
47025,Claiborne,(TN),21609,"21,533","36,976","29,255"
47029,Cocke,(TN),19204,"18,752","20,004","19,378"
47057,Grainger,(TN),18901,"18,752","20,004","19,378"
47059,Greene,(TN),18920,"18,752","20,004","19,378"
47063,Hamblen,(TN),19520,"18,752","20,004","19,378"
47067,Hancock,(TN),19046,"18,752","20,004","19,378"
47073,Hawkins,(TN),18137,"17,395","18,752","18,074"
47089,Jefferson,(TN),19607,"18,752","20,004","19,378"
47091,Johnson,(TN),20665,"20,004","21,533","20,769"
47155,Sevier,(TN),17984,"17,395","18,752","18,074"
47163,Sullivan,(TN),19040,"18,752","20,004","19,378"
47171,Unicoi,(TN),20178,"20,004","21,533","20,769"
47173,Union,(TN),19772,"18,752","20,004","19,378"
47179,Washington,(TN),18058,"17,395","18,752","18,074"
51021,Bland,(VA),17984,"17,395","18,752","18,074"
51027,Buchanan,(VA),20660,"20,004","21,533","20,769"
51035,Carroll,(VA),19009,"18,752","20,004","19,378"
51051,Dickenson,(VA),19781,"18,752","20,004","19,378"
51071,Giles,(VA),19399,"18,752","20,004","19,378"
51077,Grayson,(VA),17689,"17,395","18,752","18,074"
51105,Lee,(VA),19554,"18,752","20,004","19,378"
51155,Pulaski,(VA),19349,"18,752","20,004","19,378"
51167,Russell,(VA),18881,"18,752","20,004","19,378"
51169,Scott,(VA),21460,"20,004","21,533","20,769"
51173,Smyth,(VA),21584,"21,533","36,976","29,255"
51185,Tazewell,(VA),18923,"18,752","20,004","19,378"
51191,Washington,(VA),18362,"17,395","18,752","18,074"
51195,Wise,(VA),20123,"20,004","21,533","20,769"
51197,Wythe,(VA),20549,"20,004","21,533","20,769"
51520,Bristol,(VA),20353,"20,004","21,533","20,769"
51640,Galax,(VA),21069,"20,004","21,533","20,769"
51720,Norton,(VA),17554,"17,395","18,752","18,074"
54005,Boone,(WV),21150,"20,004","21,533","20,769"
54019,Fayette,(WV),22987,"21,533","36,976","29,255"
54039,Kanawha,(WV),18846,"18,752","20,004","19,378"
54043,Lincoln,(WV),17801,"17,395","18,752","18,074"
54045,Logan,(WV),21811,"21,533","36,976","29,255"
54047,McDowell,(WV),18223,"17,395","18,752","18,074"
54055,Mercer,(WV),18246,"17,395","18,752","18,074"
54059,Mingo,(WV),21595,"21,533","36,976","29,255"
54067,Nicholas,(WV),20565,"20,004","21,533","20,769"
54081,Raleigh,(WV),21219,"20,004","21,533","20,769"
54089,Summers,(WV),21023,"20,004","21,533","20,769"
54099,Wayne,(WV),20242,"20,004","21,533","20,769"
54109,Wyoming,(WV),23906,"21,533","36,976","29,255"
18001,Adams,(IN),16627,"5,293","17,395","11,344"
18003,Allen,(IN),18713,"17,395","18,752","18,074"
18005,Bartholomew,(IN),18803,"18,752","20,004","19,378"
18009,Blackford,(IN),19768,"18,752","20,004","19,378"
18011,Boone,(IN),18255,"17,395","18,752","18,074"
18013,Brown,(IN),16780,"5,293","17,395","11,344"
18015,Carroll,(IN),19699,"18,752","20,004","19,378"
18017,Cass,(IN),18034,"17,395","18,752","18,074"
18019,Clark,(IN),22724,"21,533","36,976","29,255"
18021,Clay,(IN),18718,"17,395","18,752","18,074"
18023,Clinton,(IN),18828,"18,752","20,004","19,378"
18027,Daviess,(IN),20206,"20,004","21,533","20,769"
18029,Dearborn,(IN),21320,"20,004","21,533","20,769"
18031,Decatur,(IN),19402,"18,752","20,004","19,378"
18033,DeKalb,(IN),18163,"17,395","18,752","18,074"
18035,Delaware,(IN),21286,"20,004","21,533","20,769"
18039,Elkhart,(IN),16099,"5,293","17,395","11,344"
18041,Fayette,(IN),18025,"17,395","18,752","18,074"
18047,Franklin,(IN),19190,"18,752","20,004","19,378"
18049,Fulton,(IN),18414,"17,395","18,752","18,074"
18053,Grant,(IN),19346,"18,752","20,004","19,378"
18055,Greene,(IN),21531,"20,004","21,533","20,769"
18057,Hamilton,(IN),17614,"17,395","18,752","18,074"
18059,Hancock,(IN),19302,"18,752","20,004","19,378"
18063,Hendricks,(IN),18044,"17,395","18,752","18,074"
18065,Henry,(IN),18583,"17,395","18,752","18,074"
18067,Howard,(IN),20034,"20,004","21,533","20,769"
18069,Huntington,(IN),16611,"5,293","17,395","11,344"
18071,Jackson,(IN),15784,"5,293","17,395","11,344"
18073,Jasper,(IN),20568,"20,004","21,533","20,769"
18075,Jay,(IN),18452,"17,395","18,752","18,074"
18077,Jefferson,(IN),21476,"20,004","21,533","20,769"
18079,Jennings,(IN),17971,"17,395","18,752","18,074"
18081,Johnson,(IN),17505,"17,395","18,752","18,074"
18085,Kosciusko,(IN),18608,"17,395","18,752","18,074"
18087,LaGrange,(IN),16617,"5,293","17,395","11,344"
18091,LaPorte,(IN),19256,"18,752","20,004","19,378"
18093,Lawrence,(IN),20380,"20,004","21,533","20,769"
18095,Madison,(IN),21437,"20,004","21,533","20,769"
18097,Marion,(IN),21879,"21,533","36,976","29,255"
18099,Marshall,(IN),16807,"5,293","17,395","11,344"
18101,Martin,(IN),18879,"18,752","20,004","19,378"
18103,Miami,(IN),22172,"21,533","36,976","29,255"
18105,Monroe,(IN),17209,"5,293","17,395","11,344"
18107,Montgomery,(IN),19048,"18,752","20,004","19,378"
18109,Morgan,(IN),17051,"5,293","17,395","11,344"
18113,Noble,(IN),16387,"5,293","17,395","11,344"
18115,Ohio,(IN),19052,"18,752","20,004","19,378"
18117,Orange,(IN),21950,"21,533","36,976","29,255"
18119,Owen,(IN),16696,"5,293","17,395","11,344"
18127,Porter,(IN),20885,"20,004","21,533","20,769"
18131,Pulaski,(IN),19265,"18,752","20,004","19,378"
18133,Putnam,(IN),21487,"20,004","21,533","20,769"
18135,Randolph,(IN),19646,"18,752","20,004","19,378"
18137,Ripley,(IN),20242,"20,004","21,533","20,769"
18139,Rush,(IN),20842,"20,004","21,533","20,769"
18141,St. Joseph,(IN),17802,"17,395","18,752","18,074"
18143,Scott,(IN),21133,"20,004","21,533","20,769"
18145,Shelby,(IN),21064,"20,004","21,533","20,769"
18149,Starke,(IN),17550,"17,395","18,752","18,074"
18151,Steuben,(IN),17524,"17,395","18,752","18,074"
18155,Switzerland,(IN),17224,"5,293","17,395","11,344"
18157,Tippecanoe,(IN),20658,"20,004","21,533","20,769"
18159,Tipton,(IN),20253,"20,004","21,533","20,769"
18161,Union,(IN),16638,"5,293","17,395","11,344"
18169,Wabash,(IN),19750,"18,752","20,004","19,378"
18175,Washington,(IN),21772,"21,533","36,976","29,255"
18177,Wayne,(IN),19014,"18,752","20,004","19,378"
18179,Wells,(IN),18037,"17,395","18,752","18,074"
18181,White,(IN),18464,"17,395","18,752","18,074"
18183,Whitley,(IN),16929,"5,293","17,395","11,344"
21015,Boone,(KY),20900,"20,004","21,533","20,769"
21023,Bracken,(KY),20705,"20,004","21,533","20,769"
21037,Campbell,(KY),22309,"21,533","36,976","29,255"
21041,Carroll,(KY),22737,"21,533","36,976","29,255"
21077,Gallatin,(KY),22734,"21,533","36,976","29,255"
21081,Grant,(KY),22457,"21,533","36,976","29,255"
21089,Greenup,(KY),18774,"18,752","20,004","19,378"
21097,Harrison,(KY),16545,"5,293","17,395","11,344"
21103,Henry,(KY),21860,"21,533","36,976","29,255"
21117,Kenton,(KY),21348,"20,004","21,533","20,769"
21135,Lewis,(KY),23312,"21,533","36,976","29,255"
21161,Mason,(KY),17722,"17,395","18,752","18,074"
21185,Oldham,(KY),17854,"17,395","18,752","18,074"
21187,Owen,(KY),23036,"21,533","36,976","29,255"
21191,Pendleton,(KY),18926,"18,752","20,004","19,378"
21201,Robertson,(KY),20605,"20,004","21,533","20,769"
21223,Trimble,(KY),20536,"20,004","21,533","20,769"
26005,Allegan,(MI),17262,"5,293","17,395","11,344"
26011,Arenac,(MI),20399,"20,004","21,533","20,769"
26015,Barry,(MI),16323,"5,293","17,395","11,344"
26017,Bay,(MI),19590,"18,752","20,004","19,378"
26019,Benzie,(MI),16258,"5,293","17,395","11,344"
26021,Berrien,(MI),17392,"5,293","17,395","11,344"
26023,Branch,(MI),17428,"17,395","18,752","18,074"
26025,Calhoun,(MI),20859,"20,004","21,533","20,769"
26027,Cass,(MI),16902,"5,293","17,395","11,344"
26035,Clare,(MI),18986,"18,752","20,004","19,378"
26037,Clinton,(MI),18953,"18,752","20,004","19,378"
26045,Eaton,(MI),20460,"20,004","21,533","20,769"
26049,Genesee,(MI),21256,"20,004","21,533","20,769"
26051,Gladwin,(MI),19334,"18,752","20,004","19,378"
26057,Gratiot,(MI),19650,"18,752","20,004","19,378"
26059,Hillsdale,(MI),18696,"17,395","18,752","18,074"
26063,Huron,(MI),19500,"18,752","20,004","19,378"
26065,Ingham,(MI),20571,"20,004","21,533","20,769"
26067,Ionia,(MI),20011,"20,004","21,533","20,769"
26069,Iosco,(MI),17851,"17,395","18,752","18,074"
26073,Isabella,(MI),18723,"17,395","18,752","18,074"
26075,Jackson,(MI),20200,"20,004","21,533","20,769"
26077,Kalamazoo,(MI),17675,"17,395","18,752","18,074"
26081,Kent,(MI),19185,"18,752","20,004","19,378"
26085,Lake,(MI),20431,"20,004","21,533","20,769"
26087,Lapeer,(MI),22364,"21,533","36,976","29,255"
26091,Lenawee,(MI),18942,"18,752","20,004","19,378"
26093,Livingston,(MI),18793,"18,752","20,004","19,378"
26099,Macomb,(MI),21481,"20,004","21,533","20,769"
26101,Manistee,(MI),17998,"17,395","18,752","18,074"
26105,Mason,(MI),19613,"18,752","20,004","19,378"
26107,Mecosta,(MI),19945,"18,752","20,004","19,378"
26111,Midland,(MI),17968,"17,395","18,752","18,074"
26113,Missaukee,(MI),16425,"5,293","17,395","11,344"
26115,Monroe,(MI),20367,"20,004","21,533","20,769"
26117,Montcalm,(MI),18871,"18,752","20,004","19,378"
26121,Muskegon,(MI),21257,"20,004","21,533","20,769"
26123,Newaygo,(MI),20651,"20,004","21,533","20,769"
26125,Oakland,(MI),20704,"20,004","21,533","20,769"
26127,Oceana,(MI),19545,"18,752","20,004","19,378"
26129,Ogemaw,(MI),20154,"20,004","21,533","20,769"
26133,Osceola,(MI),18009,"17,395","18,752","18,074"
26139,Ottawa,(MI),17327,"5,293","17,395","11,344"
26143,Roscommon,(MI),19030,"18,752","20,004","19,378"
26145,Saginaw,(MI),22353,"21,533","36,976","29,255"
26147,St. Clair,(MI),18601,"17,395","18,752","18,074"
26149,St. Joseph,(MI),16515,"5,293","17,395","11,344"
26151,Sanilac,(MI),18934,"18,752","20,004","19,378"
26155,Shiawassee,(MI),17894,"17,395","18,752","18,074"
26157,Tuscola,(MI),20572,"20,004","21,533","20,769"
26159,Van Buren,(MI),17487,"17,395","18,752","18,074"
26161,Washtenaw,(MI),19963,"18,752","20,004","19,378"
26163,Wayne,(MI),24180,"21,533","36,976","29,255"
26165,Wexford,(MI),17153,"5,293","17,395","11,344"
39001,Adams,(OH),24798,"21,533","36,976","29,255"
39003,Allen,(OH),19857,"18,752","20,004","19,378"
39005,Ashland,(OH),18495,"17,395","18,752","18,074"
39007,Ashtabula,(OH),23651,"21,533","36,976","29,255"
39009,Athens,(OH),19194,"18,752","20,004","19,378"
39011,Auglaize,(OH),19349,"18,752","20,004","19,378"
39013,Belmont,(OH),20910,"20,004","21,533","20,769"
39015,Brown,(OH),20769,"20,004","21,533","20,769"
39017,Butler,(OH),20238,"20,004","21,533","20,769"
39019,Carroll,(OH),17657,"17,395","18,752","18,074"
39021,Champaign,(OH),20627,"20,004","21,533","20,769"
39023,Clark,(OH),20837,"20,004","21,533","20,769"
39025,Clermont,(OH),20283,"20,004","21,533","20,769"
39027,Clinton,(OH),19757,"18,752","20,004","19,378"
39029,Columbiana,(OH),21718,"21,533","36,976","29,255"
39031,Coshocton,(OH),19124,"18,752","20,004","19,378"
39033,Crawford,(OH),22857,"21,533","36,976","29,255"
39035,Cuyahoga,(OH),21777,"21,533","36,976","29,255"
39037,Darke,(OH),17952,"17,395","18,752","18,074"
39039,Defiance,(OH),20973,"20,004","21,533","20,769"
39041,Delaware,(OH),16947,"5,293","17,395","11,344"
39043,Erie,(OH),21070,"20,004","21,533","20,769"
39045,Fairfield,(OH),21553,"21,533","36,976","29,255"
39047,Fayette,(OH),22678,"21,533","36,976","29,255"
39049,Franklin,(OH),20650,"20,004","21,533","20,769"
39051,Fulton,(OH),18996,"18,752","20,004","19,378"
39053,Gallia,(OH),23315,"21,533","36,976","29,255"
39055,Geauga,(OH),18626,"17,395","18,752","18,074"
39057,Greene,(OH),20106,"20,004","21,533","20,769"
39059,Guernsey,(OH),20416,"20,004","21,533","20,769"
39061,Hamilton,(OH),21020,"20,004","21,533","20,769"
39063,Hancock,(OH),18612,"17,395","18,752","18,074"
39065,Hardin,(OH),19490,"18,752","20,004","19,378"
39067,Harrison,(OH),21182,"20,004","21,533","20,769"
39069,Henry,(OH),19255,"18,752","20,004","19,378"
39071,Highland,(OH),24008,"21,533","36,976","29,255"
39073,Hocking,(OH),22848,"21,533","36,976","29,255"
39075,Holmes,(OH),18732,"17,395","18,752","18,074"
39077,Huron,(OH),20730,"20,004","21,533","20,769"
39079,Jackson,(OH),21849,"21,533","36,976","29,255"
39081,Jefferson,(OH),25823,"21,533","36,976","29,255"
39083,Knox,(OH),20448,"20,004","21,533","20,769"
39085,Lake,(OH),20269,"20,004","21,533","20,769"
39087,Lawrence,(OH),20973,"20,004","21,533","20,769"
39089,Licking,(OH),19439,"18,752","20,004","19,378"
39091,Logan,(OH),20874,"20,004","21,533","20,769"
39093,Lorain,(OH),21038,"20,004","21,533","20,769"
39095,Lucas,(OH),21360,"20,004","21,533","20,769"
39097,Madison,(OH),19186,"18,752","20,004","19,378"
39099,Mahoning,(OH),20423,"20,004","21,533","20,769"
39101,Marion,(OH),20922,"20,004","21,533","20,769"
39103,Medina,(OH),20634,"20,004","21,533","20,769"
39105,Meigs,(OH),21302,"20,004","21,533","20,769"
39107,Mercer,(OH),16460,"5,293","17,395","11,344"
39109,Miami,(OH),19748,"18,752","20,004","19,378"
39111,Monroe,(OH),19084,"18,752","20,004","19,378"
39113,Montgomery,(OH),22044,"21,533","36,976","29,255"
39115,Morgan,(OH),19529,"18,752","20,004","19,378"
39117,Morrow,(OH),21802,"21,533","36,976","29,255"
39119,Muskingum,(OH),20645,"20,004","21,533","20,769"
39121,Noble,(OH),19892,"18,752","20,004","19,378"
39123,Ottawa,(OH),20619,"20,004","21,533","20,769"
39125,Paulding,(OH),22491,"21,533","36,976","29,255"
39127,Perry,(OH),20953,"20,004","21,533","20,769"
39129,Pickaway,(OH),20063,"20,004","21,533","20,769"
39131,Pike,(OH),23134,"21,533","36,976","29,255"
39133,Portage,(OH),20477,"20,004","21,533","20,769"
39135,Preble,(OH),19674,"18,752","20,004","19,378"
39137,Putnam,(OH),18788,"18,752","20,004","19,378"
39139,Richland,(OH),20488,"20,004","21,533","20,769"
39141,Ross,(OH),23268,"21,533","36,976","29,255"
39143,Sandusky,(OH),19335,"18,752","20,004","19,378"
39145,Scioto,(OH),24160,"21,533","36,976","29,255"
39147,Seneca,(OH),19518,"18,752","20,004","19,378"
39149,Shelby,(OH),18884,"18,752","20,004","19,378"
39151,Stark,(OH),19926,"18,752","20,004","19,378"
39153,Summit,(OH),20899,"20,004","21,533","20,769"
39155,Trumbull,(OH),20435,"20,004","21,533","20,769"
39157,Tuscarawas,(OH),19202,"18,752","20,004","19,378"
39159,Union,(OH),18794,"18,752","20,004","19,378"
39161,Van Wert,(OH),17384,"5,293","17,395","11,344"
39163,Vinton,(OH),22419,"21,533","36,976","29,255"
39165,Warren,(OH),18980,"18,752","20,004","19,378"
39167,Washington,(OH),23020,"21,533","36,976","29,255"
39169,Wayne,(OH),18099,"17,395","18,752","18,074"
39171,Williams,(OH),17580,"17,395","18,752","18,074"
39173,Wood,(OH),19374,"18,752","20,004","19,378"
39175,Wyandot,(OH),18225,"17,395","18,752","18,074"
54007,Braxton,(WV),17629,"17,395","18,752","18,074"
54011,Cabell,(WV),20309,"20,004","21,533","20,769"
54013,Calhoun,(WV),25232,"21,533","36,976","29,255"
54015,Clay,(WV),15403,"5,293","17,395","11,344"
54017,Doddridge,(WV),18672,"17,395","18,752","18,074"
54021,Gilmer,(WV),19298,"18,752","20,004","19,378"
54035,Jackson,(WV),21117,"20,004","21,533","20,769"
54051,Marshall,(WV),18734,"17,395","18,752","18,074"
54053,Mason,(WV),18447,"17,395","18,752","18,074"
54069,Ohio,(WV),22778,"21,533","36,976","29,255"
54073,Pleasants,(WV),23547,"21,533","36,976","29,255"
54079,Putnam,(WV),17138,"5,293","17,395","11,344"
54085,Ritchie,(WV),20753,"20,004","21,533","20,769"
54087,Roane,(WV),19144,"18,752","20,004","19,378"
54095,Tyler,(WV),22587,"21,533","36,976","29,255"
54103,Wetzel,(WV),18646,"17,395","18,752","18,074"
54105,Wirt,(WV),21039,"20,004","21,533","20,769"
54107,Wood,(WV),21586,"21,533","36,976","29,255"
12011,Broward,(FL),22599,"21,533","36,976","29,255"
12085,Martin,(FL),18278,"17,395","18,752","18,074"
12086,Miami-Dade,(FL),24163,"21,533","36,976","29,255"
12099,Palm Beach,(FL),19376,"18,752","20,004","19,378"
12111,St. Lucie,(FL),19502,"18,752","20,004","19,378"
24037,St. Mary's,(MD),18991,"18,752","20,004","19,378"
24039,Somerset,(MD),20035,"20,004","21,533","20,769"
24047,Worcester,(MD),18798,"18,752","20,004","19,378"
37001,Alamance,(NC),18030,"17,395","18,752","18,074"
37007,Anson,(NC),19839,"18,752","20,004","19,378"
37013,Beaufort,(NC),17167,"5,293","17,395","11,344"
37015,Bertie,(NC),22590,"21,533","36,976","29,255"
37017,Bladen,(NC),22266,"21,533","36,976","29,255"
37019,Brunswick,(NC),16817,"5,293","17,395","11,344"
37025,Cabarrus,(NC),21165,"20,004","21,533","20,769"
37029,Camden,(NC),17727,"17,395","18,752","18,074"
37031,Carteret,(NC),18103,"17,395","18,752","18,074"
37033,Caswell,(NC),19507,"18,752","20,004","19,378"
37037,Chatham,(NC),15445,"5,293","17,395","11,344"
37041,Chowan,(NC),19514,"18,752","20,004","19,378"
37047,Columbus,(NC),20312,"20,004","21,533","20,769"
37049,Craven,(NC),16990,"5,293","17,395","11,344"
37051,Cumberland,(NC),19840,"18,752","20,004","19,378"
37053,Currituck,(NC),17442,"17,395","18,752","18,074"
37055,Dare,(NC),17655,"17,395","18,752","18,074"
37057,Davidson,(NC),19420,"18,752","20,004","19,378"
37059,Davie,(NC),17768,"17,395","18,752","18,074"
37061,Duplin,(NC),19943,"18,752","20,004","19,378"
37063,Durham,(NC),19743,"18,752","20,004","19,378"
37065,Edgecombe,(NC),21874,"21,533","36,976","29,255"
37067,Forsyth,(NC),19792,"18,752","20,004","19,378"
37069,Franklin,(NC),19982,"18,752","20,004","19,378"
37073,Gates,(NC),19745,"18,752","20,004","19,378"
37077,Granville,(NC),18609,"17,395","18,752","18,074"
37079,Greene,(NC),22045,"21,533","36,976","29,255"
37081,Guilford,(NC),18448,"17,395","18,752","18,074"
37083,Halifax,(NC),20708,"20,004","21,533","20,769"
37085,Harnett,(NC),20584,"20,004","21,533","20,769"
37091,Hertford,(NC),20877,"20,004","21,533","20,769"
37093,Hoke,(NC),19892,"18,752","20,004","19,378"
37095,Hyde,(NC),18041,"17,395","18,752","18,074"
37101,Johnston,(NC),19681,"18,752","20,004","19,378"
37103,Jones,(NC),16940,"5,293","17,395","11,344"
37105,Lee,(NC),17765,"17,395","18,752","18,074"
37107,Lenoir,(NC),19675,"18,752","20,004","19,378"
37117,Martin,(NC),20491,"20,004","21,533","20,769"
37123,Montgomery,(NC),20334,"20,004","21,533","20,769"
37125,Moore,(NC),17379,"5,293","17,395","11,344"
37127,Nash,(NC),19804,"18,752","20,004","19,378"
37129,New Hanover,(NC),17130,"5,293","17,395","11,344"
37131,Northampton,(NC),19857,"18,752","20,004","19,378"
37133,Onslow,(NC),17974,"17,395","18,752","18,074"
37135,Orange,(NC),16637,"5,293","17,395","11,344"
37137,Pamlico,(NC),15509,"5,293","17,395","11,344"
37139,Pasquotank,(NC),18232,"17,395","18,752","18,074"
37141,Pender,(NC),18577,"17,395","18,752","18,074"
37143,Perquimans,(NC),18352,"17,395","18,752","18,074"
37145,Person,(NC),18861,"18,752","20,004","19,378"
37147,Pitt,(NC),20211,"20,004","21,533","20,769"
37151,Randolph,(NC),18494,"17,395","18,752","18,074"
37153,Richmond,(NC),20068,"20,004","21,533","20,769"
37155,Robeson,(NC),21422,"20,004","21,533","20,769"
37157,Rockingham,(NC),18095,"17,395","18,752","18,074"
37159,Rowan,(NC),19410,"18,752","20,004","19,378"
37163,Sampson,(NC),19030,"18,752","20,004","19,378"
37165,Scotland,(NC),18537,"17,395","18,752","18,074"
37167,Stanly,(NC),21617,"21,533","36,976","29,255"
37169,Stokes,(NC),20253,"20,004","21,533","20,769"
37177,Tyrrell,(NC),21573,"21,533","36,976","29,255"
37179,Union,(NC),19229,"18,752","20,004","19,378"
37181,Vance,(NC),22367,"21,533","36,976","29,255"
37183,Wake,(NC),18693,"17,395","18,752","18,074"
37185,Warren,(NC),19820,"18,752","20,004","19,378"
37187,Washington,(NC),21673,"21,533","36,976","29,255"
37191,Wayne,(NC),19049,"18,752","20,004","19,378"
37195,Wilson,(NC),19927,"18,752","20,004","19,378"
45015,Berkeley,(SC),19237,"18,752","20,004","19,378"
45019,Charleston,(SC),18466,"17,395","18,752","18,074"
45025,Chesterfield,(SC),19759,"18,752","20,004","19,378"
45027,Clarendon,(SC),19120,"18,752","20,004","19,378"
45031,Darlington,(SC),21262,"20,004","21,533","20,769"
45033,Dillon,(SC),20532,"20,004","21,533","20,769"
45035,Dorchester,(SC),20571,"20,004","21,533","20,769"
45041,Florence,(SC),21363,"20,004","21,533","20,769"
45043,Georgetown,(SC),17753,"17,395","18,752","18,074"
45051,Horry,(SC),17946,"17,395","18,752","18,074"
45055,Kershaw,(SC),16749,"5,293","17,395","11,344"
45061,Lee,(SC),20919,"20,004","21,533","20,769"
45067,Marion,(SC),21182,"20,004","21,533","20,769"
45069,Marlboro,(SC),19529,"18,752","20,004","19,378"
45085,Sumter,(SC),19706,"18,752","20,004","19,378"
45089,Williamsburg,(SC),22076,"21,533","36,976","29,255"
51001,Accomack,(VA),18765,"18,752","20,004","19,378"
51003,Albemarle,(VA),18241,"17,395","18,752","18,074"
51005,Alleghany,(VA),20188,"20,004","21,533","20,769"
51007,Amelia,(VA),22269,"21,533","36,976","29,255"
51009,Amherst,(VA),19516,"18,752","20,004","19,378"
51011,Appomattox,(VA),18945,"18,752","20,004","19,378"
51015,Augusta,(VA),17855,"17,395","18,752","18,074"
51017,Bath,(VA),29096,"21,533","36,976","29,255"
51019,Bedford County,(VA),18751,"17,395","18,752","18,074"
51023,Botetourt,(VA),19274,"18,752","20,004","19,378"
51025,Brunswick,(VA),19176,"18,752","20,004","19,378"
51029,Buckingham,(VA),20655,"20,004","21,533","20,769"
51031,Campbell,(VA),20635,"20,004","21,533","20,769"
51033,Caroline,(VA),17902,"17,395","18,752","18,074"
51036,Charles City,(VA),17559,"17,395","18,752","18,074"
51037,Charlotte,(VA),21622,"21,533","36,976","29,255"
51041,Chesterfield,(VA),18821,"18,752","20,004","19,378"
51045,Craig,(VA),18563,"17,395","18,752","18,074"
51049,Cumberland,(VA),19017,"18,752","20,004","19,378"
51053,Dinwiddie,(VA),21028,"20,004","21,533","20,769"
51057,Essex,(VA),19843,"18,752","20,004","19,378"
51063,Floyd,(VA),16935,"5,293","17,395","11,344"
51065,Fluvanna,(VA),16883,"5,293","17,395","11,344"
51067,Franklin County,(VA),17052,"5,293","17,395","11,344"
51073,Gloucester,(VA),18161,"17,395","18,752","18,074"
51075,Goochland,(VA),18412,"17,395","18,752","18,074"
51079,Greene,(VA),18497,"17,395","18,752","18,074"
51081,Greensville,(VA),22244,"21,533","36,976","29,255"
51083,Halifax,(VA),17797,"17,395","18,752","18,074"
51085,Hanover,(VA),18862,"18,752","20,004","19,378"
51087,Henrico,(VA),19518,"18,752","20,004","19,378"
51089,Henry,(VA),20161,"20,004","21,533","20,769"
51093,Isle of Wight,(VA),18091,"17,395","18,752","18,074"
51095,James City,(VA),17233,"5,293","17,395","11,344"
51097,King and Queen,(VA),17707,"17,395","18,752","18,074"
51099,King George,(VA),18970,"18,752","20,004","19,378"
51101,King William,(VA),18305,"17,395","18,752","18,074"
51103,Lancaster,(VA),17753,"17,395","18,752","18,074"
51109,Louisa,(VA),18207,"17,395","18,752","18,074"
51111,Lunenburg,(VA),19617,"18,752","20,004","19,378"
51115,Mathews,(VA),16400,"5,293","17,395","11,344"
51117,Mecklenburg,(VA),18263,"17,395","18,752","18,074"
51119,Middlesex,(VA),17850,"17,395","18,752","18,074"
51121,Montgomery,(VA),20149,"20,004","21,533","20,769"
51125,Nelson,(VA),17108,"5,293","17,395","11,344"
51127,New Kent,(VA),19213,"18,752","20,004","19,378"
51131,Northampton,(VA),18244,"17,395","18,752","18,074"
51133,Northumberland,(VA),18057,"17,395","18,752","18,074"
51135,Nottoway,(VA),19357,"18,752","20,004","19,378"
51137,Orange,(VA),16941,"5,293","17,395","11,344"
51141,Patrick,(VA),18759,"18,752","20,004","19,378"
51143,Pittsylvania,(VA),18358,"17,395","18,752","18,074"
51145,Powhatan,(VA),18487,"17,395","18,752","18,074"
51147,Prince Edward,(VA),22454,"21,533","36,976","29,255"
51149,Prince George,(VA),20436,"20,004","21,533","20,769"
51159,Richmond County,(VA),17609,"17,395","18,752","18,074"
51161,Roanoke County,(VA),17462,"17,395","18,752","18,074"
51163,Rockbridge,(VA),16903,"5,293","17,395","11,344"
51175,Southampton,(VA),19143,"18,752","20,004","19,378"
51177,Spotsylvania,(VA),19395,"18,752","20,004","19,378"
51181,Surry,(VA),16848,"5,293","17,395","11,344"
51183,Sussex,(VA),23522,"21,533","36,976","29,255"
51193,Westmoreland,(VA),17668,"17,395","18,752","18,074"
51199,York,(VA),17596,"17,395","18,752","18,074"
51530,Buena Vista,(VA),17302,"5,293","17,395","11,344"
51540,Charlottesville,(VA),18128,"17,395","18,752","18,074"
51550,Chesapeake,(VA),19351,"18,752","20,004","19,378"
51570,Colonial Heights,(VA),17023,"5,293","17,395","11,344"
51580,Covington,(VA),17169,"5,293","17,395","11,344"
51590,Danville,(VA),20986,"20,004","21,533","20,769"
51595,Emporia,(VA),17145,"5,293","17,395","11,344"
