FIPS Code,Name,State,Value,LowRange($),HighRange($),Average($)
21155,Marion,(KY),20776,"20,004","21,533","20,769"
21163,Meade,(KY),20412,"20,004","21,533","20,769"
21167,Mercer,(KY),21243,"20,004","21,533","20,769"
21169,Metcalfe,(KY),20144,"20,004","21,533","20,769"
21171,Monroe,(KY),25301,"21,533","36,976","29,255"
21173,Montgomery,(KY),18899,"18,752","20,004","19,378"
21177,Muhlenberg,(KY),17998,"17,395","18,752","18,074"
21179,Nelson,(KY),19255,"18,752","20,004","19,378"
21181,Nicholas,(KY),17481,"17,395","18,752","18,074"
21183,Ohio,(KY),19898,"18,752","20,004","19,378"
21199,Pulaski,(KY),17441,"17,395","18,752","18,074"
21203,Rockcastle,(KY),20065,"20,004","21,533","20,769"
21207,Russell,(KY),20457,"20,004","21,533","20,769"
21209,Scott,(KY),18909,"18,752","20,004","19,378"
21211,Shelby,(KY),17959,"17,395","18,752","18,074"
21213,Simpson,(KY),24977,"21,533","36,976","29,255"
21215,Spencer,(KY),18409,"17,395","18,752","18,074"
21217,Taylor,(KY),21533,"20,004","21,533","20,769"
21227,Warren,(KY),20069,"20,004","21,533","20,769"
21229,Washington,(KY),20464,"20,004","21,533","20,769"
21231,Wayne,(KY),18453,"17,395","18,752","18,074"
21235,Whitley,(KY),20903,"20,004","21,533","20,769"
21239,Woodford,(KY),18072,"17,395","18,752","18,074"
37039,Cherokee,(NC),18149,"17,395","18,752","18,074"
47001,Anderson,(TN),19238,"18,752","20,004","19,378"
47003,Bedford,(TN),17793,"17,395","18,752","18,074"
47007,Bledsoe,(TN),18455,"17,395","18,752","18,074"
47009,Blount,(TN),18448,"17,395","18,752","18,074"
47011,Bradley,(TN),19395,"18,752","20,004","19,378"
47013,Campbell,(TN),20759,"20,004","21,533","20,769"
47015,Cannon,(TN),19011,"18,752","20,004","19,378"
47021,Cheatham,(TN),18522,"17,395","18,752","18,074"
47027,Clay,(TN),20023,"20,004","21,533","20,769"
47031,Coffee,(TN),21241,"20,004","21,533","20,769"
47035,Cumberland,(TN),16430,"5,293","17,395","11,344"
47037,Davidson,(TN),20711,"20,004","21,533","20,769"
47041,DeKalb,(TN),18492,"17,395","18,752","18,074"
47049,Fentress,(TN),21763,"21,533","36,976","29,255"
47051,Franklin,(TN),20646,"20,004","21,533","20,769"
47055,Giles,(TN),20769,"20,004","21,533","20,769"
47061,Grundy,(TN),21050,"20,004","21,533","20,769"
47065,Hamilton,(TN),19564,"18,752","20,004","19,378"
47087,Jackson,(TN),19346,"18,752","20,004","19,378"
47093,Knox,(TN),18618,"17,395","18,752","18,074"
47103,Lincoln,(TN),19063,"18,752","20,004","19,378"
47105,Loudon,(TN),17632,"17,395","18,752","18,074"
47107,McMinn,(TN),18905,"18,752","20,004","19,378"
47111,Macon,(TN),19899,"18,752","20,004","19,378"
47115,Marion,(TN),20958,"20,004","21,533","20,769"
47117,Marshall,(TN),20419,"20,004","21,533","20,769"
47119,Maury,(TN),19772,"18,752","20,004","19,378"
47121,Meigs,(TN),16318,"5,293","17,395","11,344"
47123,Monroe,(TN),18421,"17,395","18,752","18,074"
47127,Moore,(TN),17227,"5,293","17,395","11,344"
47129,Morgan,(TN),18004,"17,395","18,752","18,074"
47133,Overton,(TN),21684,"21,533","36,976","29,255"
47137,Pickett,(TN),25798,"21,533","36,976","29,255"
47139,Polk,(TN),20439,"20,004","21,533","20,769"
47141,Putnam,(TN),19502,"18,752","20,004","19,378"
47143,Rhea,(TN),18430,"17,395","18,752","18,074"
47145,Roane,(TN),18494,"17,395","18,752","18,074"
47147,Robertson,(TN),18253,"17,395","18,752","18,074"
47149,Rutherford,(TN),17902,"17,395","18,752","18,074"
47151,Scott,(TN),20044,"20,004","21,533","20,769"
47153,Sequatchie,(TN),17780,"17,395","18,752","18,074"
47159,Smith,(TN),22393,"21,533","36,976","29,255"
47165,Sumner,(TN),17931,"17,395","18,752","18,074"
47169,Trousdale,(TN),23332,"21,533","36,976","29,255"
47175,Van Buren,(TN),17167,"5,293","17,395","11,344"
